Title,Description,Webpage,TaDiRAH goals & methods,Code license,Developer,Platform,Status,Tags,TAPoR,DiRT URL,Updated date
Lexos,"Lexos is an online tool that enables you to ""scrub"" (clean) your text(s), cut a text(s) into various size chunks, manage chunks and chunk sets, and choose from a suite of analysis tools for investigating those texts. Functionality includes building dendrograms, making graphs of rolling averages of word frequencies or ratios of words or letters, and playing with visualizations of word frequencies including word clouds and bubble visualizations. To facilitate subsequent text mining analyses beyond the scope of this site, users can also transpose and download their matrices of word counts or relative proportions as comma- or tab-separated files (.csv, .tsv).

Lexos is part of the Lexomics Project (http://wheatoncollege.edu/lexomics/) and partially replaces the earlier Lexomics tools. See the Bamboo DiRT entry from Lexomics.
",http://lexos.wheatoncollege.edu/,Analysis,Open source,"Michael Drout, Michael Kahn, Scott Kleinman, Mark LeBlanc",Other,Active,"lexos, lexomics, text analysis, visualization",http://www.tapor.ca/?id=302,http://dirtdirectory.org/resources/lexos,5/17/15
Serendip-o-matic,"Serendip-o-matic extracts keywords from your Zotero library or from text that you've pasted into the web interface, and finds related content in locations such as the Digital Public Library of America (DPLA), Europeana, and Flickr Commons, including photographs, documents, maps and other primary sources.
",http://serendip-o-matic.com/,,"Open source, GNU GPL, GNU Affero GPL",One Week One Tool,Run in Browser,Active,"images, maps, geohumanities",,http://dirtdirectory.org/resources/serendip-o-matic,6/7/16
Clipping Magic,"Clipping Magic lets you easily edit out the background of photos. Mark up the foreground and background in the editor, use the scalpel tool for precision selections, then download the new image. You can upload and edit as many images as you like but you must have a paid subscription to download ($4 - $15 per month depending on the number of download credits needed). 
Officially supported file formats: JPEG, PNG, GIF images using sRGB color space. CMYK displays the wrong colors in the editor but the resulting image is correct. Current max image resolution is 4 megapixels. The Clipping Magic website includes tutorials for each of their tools. 
Feature List: 
Web based graphical user Interface, with quick feedback on your edits. 
Smart Algorithm minimizes the amount of work you need to put in - you do not need to trace the entire outline of your image
Pan and Zoom to any level necessary allows you to inspect details while quickly navigating your image.
Undo / Redo
Auto-Save
Configurable Auto-Brush-Size: The brush size adapts dynamically to your zoom level so that you can easily zoom in to make detailed edits. 
Refine Edges gives you full control over smoothing, feathering and offset.
Dedicated Hair Tool separates out hair from clean and distinct backgrounds.
Color Levels - tune brightness, shadows and highlights, and the color temperature.
Rotate / Straighten.
Crop & Resize 
Shadows creator with both drop shadow and ellipse shadows.
Background Color or transparent background options
Configurable Defaults 
Bulk Clipping
Share Your Results with a secure URL
They also offer a paid REST-oriented Web API for automating the uploading of images and downloading results. Subscriptions range from $50 to $250 per month.The editor can be integrated into a website using ClippingMagic.js
",https://clippingmagic.com/,Cleanup,Closed source,"James Diebel, Jacob Norda, Cedar Lake Ventures Inc.",Run in Browser,Active,"image, editing, clipping",,http://dirtdirectory.org/resources/clipping-magic,5/17/15
Textal,"A free iOS app for text analysis. Textal allows you to analyze documents, tweet streams, and webpages. Create clickable text clouds based on the source data that you choose. It comes pre-loaded with a large number of public domain texts. Text clouds are easily shareable via various Twitter and email.
",https://textal.org/,"Capture, DataRecognition, Analysis, Visualization, Stylistic Analysis",,UCL Centre for Digital Humanities,Other,Active,"Analyze texts, word cloud",,http://dirtdirectory.org/resources/textal,12/17/15
VoxcribeCC,"VoxcribeCC has the most accurate speaker-independent and topic-independent desktop speech recognition technology. It is used for media (audio\video) transcription and video-captioning.
Please watch VoxcribeCC Usage Video to learn using VoxcribeCC just in 2 minutes.
VoxcribeCC offers:
• An unmatched ability for audio transcription and subtitle creation and editing,
• Outstanding levels of productivity and quality at incredibly low costs. 
Features:
• Direct media-speech-recognition.
• Auto time stamping
• Interactive time-line with audio energy display
• Spell-check and auto text formatting
• Subtitle splitting and merging with automatic audio synchronization
• Visual subtitles with graphically adjustable start and end points 
Click here to Download VoxcribeCC
",http://www.voxcribe.com,Conversion,Closed source,Voxcribe Technologies,Other,Active,"Speech recognition, captioning, transcription, subtitle editing",,http://dirtdirectory.org/resources/voxcribecc,6/16/15
MindMup,"A free browser-based brainstorming tool that lets you create visually interesting mind maps quickly and intuitively. Similar to other mind-mapping or brainstorming tools (ex. Bubbl.us and FreeMind), MindMup has lots of options for embedding,sharing, or saving maps. Maps can be saved to Google Drive or to MindMup. Includes extensions to allow users to collaborate on maps in real time.
",https://www.mindmup.com/,,,,Run in Browser,Active,"brainstorming, concept mapping, mind mapping",,http://dirtdirectory.org/resources/mindmup,5/17/15
Motivational and Inspirational,"Get the awesome Inspirational and Motivational Messages @ http://quotemessages.com/inspirational-messages-angry/  Inspirational Messages 

*** or find Best  Happy Birthday Peoms Sisters @ http://quotemessages.com/hate-messages-betrayal-cheating-ex-husband-ex-b...
",http://quotemessages.com/,"Capture, Creation, Web development",Closed source,,Run in Browser,Active,"web publishing, websites",,http://dirtdirectory.org/resources/motivational-and-inspirational,4/12/17
POP - Prototyping on Paper,"POP allows paper based wire frames to be converted to a simulated mobile app.
",https://popapp.in/,,,Woomoo,Other,Active,,,http://dirtdirectory.org/resources/pop-prototyping-paper,5/19/15
Projects,"Projects allows researchers to organise and manage all their research outputs in a safe, simple and structured way. It’s designed to help academics, at any stage of their career, keep track and stay on top of all their results. It’s a light, useful and slick application that integrates into a researcher’s existing workflow to help them work more efficiently and ensure they have more time for making discoveries.
",https://projects.ac/,,,Digital Science,Other,Active,"data management, data storage, research management, organization, organize, organisation, organise, backup, versioning, annotation",,http://dirtdirectory.org/resources/projects,5/19/15
NodeXL Network Graphs,"From the website: NodeXL is a free, open-source template for Microsoft® Excel® 2007 and 2010 that makes it easy to explore network graphs.  With NodeXL, you can enter a network edge list in a worksheet, click a button and see your graph, all in the familiar environment of the Excel window. (http://nodexl.codeplex.com/)
The book Analyzing Social Media Networks with NodeXL: Insights from a Connected World is the most comprehensive source on NodeXL. Accompanying slides and datasets are available on the NodeXL Teaching Resources page. (http://nodexl.codeplex.com/documentation)
",http://nodexl.codeplex.com/,Network Analysis,"Open source, Microsoft Public License (Ms-PL)","Microsoft Research, Social Media Research Foundation",Other,Beta,"network graphs, social network analysis",,http://dirtdirectory.org/resources/nodexl-network-graphs,12/29/14
mapline,"Mapline (previously Topo.ly) is a free and paid online service for capturing and geocoding spatial data from spreadsheets and creating point, territory and heat maps. It is free for limited use (quite generous) and paid when you need to map significant (we are talking substantial) datasets. It's intuitive, easy to use and produces high quality interactive maps.  Free service has only minimal map customization options and does not include the visual analysis that is included with the fee options.
",http://mapline.com,Spatial Analysis,Closed source,,Run in Browser,Active,"data visualization, Cartography, mapping",,http://dirtdirectory.org/resources/mapline,10/6/15
NB,"NB is designed for faculty and students to collaboratively annotate PDFs in an online environment. The faculty member can upload course material (e.g. readings), and make it available to their students. Students can then create public and private annotations on those PDFs. NB includes a feature for faculty and (optionally) students to download the resulting fully-annotated PDFs.
",http://nb.mit.edu/,"Enrichment, Annotating, Dissemination, Collaboration","Open source, MIT License",Haystack,Run in Browser,Active,"annotation, collaboration",,http://dirtdirectory.org/resources/nb,4/29/15
Domeo Annotation Toolkit,"Domeo is an extensible web application enabling users to visually and efficiently create and share ontology-based stand-off annotation on HTML or XML document targets. The tool supports manual, fully automated, and semi-automated annotation with complete provenance records, as well as personal or community annotation with access authorization and control.
",http://swan.mindinformatics.org/,,,"Massachusetts General Hospital, Paolo Ciccarese, Tim Clark",Run in Browser,Active,"annotation, XML, ontologies, collaboration",,http://dirtdirectory.org/resources/domeo-annotation-toolkit,5/22/15
MapHub,"Maphub in a web portal for georeferencing and annotating digitized historic maps. Georeferencing transforms the map image to align with real world geographic coordinates, while the annotations are overlaps plus notes. Maphub suggests possible tags for the annotation based on its text and location; tags link to related Wikipedia articles.  Once created, user-contributed annotations are shared via the Maphub Open Annotation API.
A first prototype of Maphub, using digitized maps from the Library of Congress’ Map Division, can be found at http://maphub.herokuapp.com/.
",http://maphub.github.io/,Annotating,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.,Cornell Information Science,,En desarrollo,"maps, geography, georeferencing, geohumanities",,http://dirtdirectory.org/resources/maphub,6/7/16
